link;produk;harga;layar;chipset;memori;ram;kamera;os;rating
https://www.hallogsm.com/harga-hp/samsung-galaxy-f55/;Samsung Galaxy F55;Rp9.999.999;Super AMOLED+ 6.7 inci;Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm);128 GB / 256 GB;8 GB / 12 GB;Belakang Triple 50 MP + 8 MP + 2 MP, Depan 50 MP;Android 14;8.4
https://www.hallogsm.com/harga-hp/realme-gt-6t/;Realme GT 6T;Rp6.199.000;LTPO AMOLED 6.78 inci;Qualcomm SM7675 Snapdragon 7+ Gen 3 (4 nm);128 GB / 256 GB / 512 GB;8 GB / 12 GB;Belakang Dual 50 MP + 8 MP, Depan 32 MP;Android 14;8.4
https://www.hallogsm.com/harga-hp/xiaomi-redmi-note-13r/;Xiaomi Redmi Note 13R;Rp3.099.000;IPS LCD 6.79 inci;Qualcomm SM4450 Snapdragon 4+ Gen 2 (4 nm);128 GB / 256 GB / 512 GB;6 GB / 8 GB / 12 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 14;8.2
https://www.hallogsm.com/harga-hp/samsung-galaxy-m35/;Samsung Galaxy M35;Rp8.499.000;Super AMOLED 6.6 inci;Exynos 1380 (5 nm);256 GB;8 GB;Belakang Triple 50 MP + 8 MP + 5 MP, Depan 13 MP;Android 14;7.8
https://www.hallogsm.com/harga-hp/sony-xperia-10-vi/;Sony Xperia 10 VI;Rp6.999.000;OLED 6.1 inci;Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);128 GB;8 GB;Belakang Dual 48 MP + 8 MP, Depan 8 MP;Android 14;7.8
https://www.hallogsm.com/harga-hp/sony-xperia-1-vi/;Sony Xperia 1 VI;Rp26.299.000;LTPO OLED 6.5 inci;Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);256 GB / 512 GB;12 GB;Belakang Triple 48 MP + 12 MP + 12 MP, Depan 12 MP;Android 14;8.4
https://www.hallogsm.com/harga-hp/hmd-xr21/;HMD XR21;Rp10.899.000;IPS LCD 6.49 inci;Qualcomm SM6375 Snapdragon 695 5G (6 nm);128 GB;64 GB;Belakang Dual 64 MP + 8 MP, Depan 16 MP;Android 12;7.6
https://www.hallogsm.com/harga-hp/xiaomi-redmi-k60-ultra/;Xiaomi Redmi K60 Ultra;Rp5.799.000;OLED 6.67 inci;Mediatek Dimensity 9200+ (4 nm);256 GB / 512 GB / 1 TB;12 GB / 16 GB / 24 GB;Belakang Triple 50 MP + 8 MP + 2 MP, Depan 20 MP;Android 13;8.6
https://www.hallogsm.com/harga-hp/oppo-k12x/;Oppo K12x;Rp2.899.000;OLED 6.67 inci;Qualcomm SM6375 Snapdragon 695 5G (6 nm);256 GB / 512 GB;8 GB / 12 GB;Belakang Dual 50 MP + 2 MP, Depan 16 MP;Android 14;8.2
https://www.hallogsm.com/harga-hp/vivo-x100-ultra/;Vivo X100 Ultra;Rp14.499.000;LTPO AMOLED 6.78 inci;Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);256 GB / 512 GB;12 GB / 16 GB;Belakang Triple 50 MP + 200 MP + 50 MP, Depan 50 MP;Android 14;8.8
